ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
70259,Mushoku Tensei: Isekai Ittara Honki Dasu,"Fantasy, Isekai, Reincarnation, Seinen",,8.11,575,122,currently_publishing,"Yuka Fujikawa,  Rifujin na Magonote"
20,Hikaru no Go,"Award Winning, Comedy, Drama, Shounen, Strategy Game, Supernatural",,8.11,576,373,finished,"Takeshi Obata, Yumi Hotta"
338,Chrno Crusade,"Action, Adventure, Drama, Fantasy, Romance, Sci-Fi, Shounen, Supernatural",,8.11,577,650,finished,Daisuke Moriyama
1101,Akumetsu,"Action, Detective, Drama, Psychological, Shounen, Suspense",,8.11,579,238,finished,"Yoshiaki Tabata, Yuuki Yugo"
1365,Kaze to Ki no Uta,"Award Winning, Boys Love, Drama, Historical, Shoujo",,8.11,575,2200,finished,Keiko Takemiya
3403,Rosario to Vampire: Season II,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Supernatural, Vampire",,8.11,581,243,finished,Akihisa Ikeda
4423,Oooku,"Award Winning, Drama, Historical, Samurai, Shoujo",,8.11,582,1801,finished,Fumi Yoshinaga
4945,Ginga Nagareboshi Gin,"Anthropomorphic, Award Winning, Shounen",,8.11,583,4613,finished,Yoshihiro Takahashi
8300,Baby Steps,"Award Winning, School, Shounen, Sports",,8.11,579,722,finished,Hikaru Katsuki
154679,Hotaru no Yomeiri,"Historical, Romance",,8.11,587,971,currently_publishing,Oreco Tachibana
153158,Telework Yotabanashi,"Adult Cast, Romance, Seinen",,8.1,588,1091,finished,Kintetsu Yamada
112090,Hidamari ga Kikoeru: Koufukuron,"Boys Love, School, Slice of Life",,8.1,589,2945,finished,Yuki Fumino
19709,Gabai: Saga no Gabai Baachan,"Comedy, Historical, Seinen, Slice of Life",,8.1,592,8090,finished,"Yoshichi Shimada, Saburou Ishikawa"
27029,Ouran Koukou Host Club University Special,"Comedy, Crossdressing, Drama, Harem, Romance, School, Shoujo",,8.1,594,2878,finished,Bisco Hatori
48025,Magi: Sinbad no Bouken,"Action, Adventure, Fantasy, Shounen",,8.1,596,521,finished,"Shinobu Ohtaka, Yoshifumi Ohtera"
47,Katekyou Hitman Reborn!,"Action, Comedy, Organized Crime, School, Shounen, Super Power",,8.1,598,106,finished,Akira Amano
339,Sakigake!! Cromartie Koukou,"Award Winning, Comedy, Delinquents, Gag Humor, Shounen",,8.1,599,1443,finished,Eiji Nonaka
908,Soul Eater,"Action, Comedy, Fantasy, Shounen",,8.1,596,43,finished,Atsushi Ookubo
1258,Higurashi no Naku Koro ni: Watanagashi-hen,"Drama, Horror, Mystery, Psychological, Shounen",,8.1,601,1069,finished,"Yutori Houjou,  Ryukishi07"
9296,Seven Days,"Boys Love, School, Slice of Life",,8.1,602,310,finished,"Rihito Takarai, Venio Tachibana"
11243,Kono Sekai no Katasumi ni,"Award Winning, Drama, Historical, Seinen",,8.1,603,2480,finished,Fumiyo Kouno
11652,Kuroko no Basket,"Comedy, School, Shounen, Sports, Team Sports",,8.1,604,217,finished,Tadatoshi Fujimaki
13702,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo",,8.1,605,130,finished, Robico
62671,Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,"Drama, Fantasy, Mahou Shoujo, Psychological",,8.1,606,2717,finished," Magica Quartet,  Hanokage"
78537,Karakai Jouzu no Takagi-san,"Award Winning, Comedy, Love Status Quo, Romance, School, Shounen",,8.09,608,201,finished,Souichirou Yamamoto
80281,Girls & Panzer: Ribbon no Musha,"Comedy, Military, School, Seinen",,8.09,609,5442,finished,"Takeshi Nogami, Takaaki Suzuki"
41435,K: Memory of Red,"Action, Martial Arts, Shoujo, Supernatural",,8.09,609,1940,finished,"Yui Kuroe,  GoRA"
