ID,Nome,Generi/Temi,Start Date,End Date,Mean Score,Rank,Popularity,Volumi,Capitoli,Stato,Tipo Media,Autori,Serializzazioni
1804,Magic Kaito,"Adventure, Comedy, Romance, Shounen",1987-05-27,,7.79,1379,2577,0,0,currently_publishing,manga,Gosho Aoyama,
3749,Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch,"Comedy, Drama, Horror, Mystery, Psychological, Supernatural",2007-12-22,2009-08-22,7.79,1380,556,4,23,finished,manga,"Kei Natsumi,  Ryukishi07",
5394,Kiss/Hug,"Romance, Shoujo",2007,2007,7.79,1381,1262,3,14,finished,manga,Kako Mitsuki,
8446,Ikigami,"Action, Drama, Mystery, Psychological, Seinen, Suspense",2005-01-27,2012-02-06,7.79,1382,803,10,60,finished,manga,Motoro Mase,
13801,Drifters,"Action, Adult Cast, Adventure, Comedy, Fantasy, Historical, Isekai, Samurai, Seinen",2009-04-30,,7.79,1383,462,0,0,currently_publishing,manga,Kouta Hirano,
101851,Akebi-chan no Sailor-fuku,"School, Seinen, Slice of Life",2016-08-02,,7.79,1386,1701,0,0,currently_publishing,manga, Hiro,
102980,Watashi no Shounen,"Drama, Seinen",2015-12-25,2020-10-26,7.79,1387,1739,9,43,finished,manga,Hitomi Takano,
105912,Toaru Kagaku no Railgun Gaiden: Astral Buddy,"School, Sci-Fi",2017-04-27,2020-07-27,7.79,1399,5248,4,31,finished,manga,"Kazuma Kamachi, Yasuhito Nogi",
106615,Shiro Seijo to Kuro Bokushi,"Fantasy, Love Status Quo, Romance, Shounen",2017-04-20,,7.79,1389,3535,0,0,currently_publishing,manga,Hazano Kazutake,
57897,Shin Mazinger Zero vs Ankoku Daishougun,"Action, Adventure, Mecha, Sci-Fi, Seinen",2012-11-19,2015-11-19,7.79,1390,18453,8,36,finished,manga,"Go Nagai, Yuuki Yugo",
68025,Sankaku Mado no Sotogawa wa Yoru,"Boys Love, Mystery, Supernatural",2013-03-07,2020-12-07,7.79,1391,4880,10,57,finished,manga,Tomoko Yamashita,
86327,Urara Meirochou,"CGDCT, Comedy, Fantasy, Seinen, Slice of Life",2014-04-16,2019-06-08,7.79,1392,4424,7,69,finished,manga, Harikamo,
49333,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo? Z,"Comedy, Fantasy, Isekai, Romance",2012-08-09,2013-10-09,7.79,1396,3884,3,15,finished,manga,"Anri Sakano, Tarou Tatsunoko",
116831,Majo no Tabitabi,"Adventure, Fantasy",2018-11-29,2024-03-28,7.79,1397,3650,6,24,finished,manga,"Jougi Shiraishi, Itsuki Nanao",
125746,Koisuru (Otome) no Tsukurikata,"Boys Love, Comedy, Crossdressing, School",2020-02-21,,7.79,1400,1746,0,0,currently_publishing,manga,Azusa Banjou,
132727,Ookami no Kawa wo Kabutta Hitsuji Hime,"Fantasy, Girls Love",2020-10-09,2023-04-21,7.79,1401,4693,5,31,finished,manga, Mito,
90117,Tsuki ga Michibiku Isekai Douchuu,"Adventure, Fantasy, Isekai",2015-06-10,,7.78,1404,446,0,0,currently_publishing,manga,"Kotora Kino, Kei Azumi",
90309,Mahou Shoujo Madoka★Magica: Majuu-hen,"Drama, Fantasy, Mahou Shoujo",2015-06-10,2016-10-08,7.78,1405,3574,3,9,finished,manga," Magica Quartet,  Hanokage",
95016,Poputepipikku,"Comedy, Gag Humor, Parody",2014-08-29,,7.78,1406,1644,0,0,currently_publishing,manga,bkub Ookawa,
95353,"Kumo desu ga, Nani ka?","Action, Adventure, Comedy, Fantasy, Isekai, Reincarnation",2015-12-22,,7.78,1407,274,0,0,currently_publishing,manga,"Asahiro Kakashi, Okina Baba",
103803,Melancholia,"Psychological, Sci-Fi, Seinen",2017-01-19,2019-01-19,7.78,1408,3605,2,26,finished,manga,Sayman Dowman,
108023,Kimi no Na wa. Another Side: Earthbound,"Drama, Supernatural",2017-07-25,2019-03-26,7.78,1410,3918,2,14,finished,manga,"Arata Kanou, Junya Nakamura",
158351,Koiseyo Mayakashi Tenshi-domo,"Comedy, Romance, School, Shoujo",2023-04-24,,7.78,1417,3789,0,0,currently_publishing,manga,Coco Uzuki,
