ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
6812,Kyou kara Ore wa!!,"Action, Comedy, Delinquents, School, Shounen",8.44,194,878,finished,Hiroyuki Nishimori
155861,Kininatteru Hito ga Otoko ja Nakatta,"Girls Love, Music",8.44,195,447,currently_publishing,Sumiko Arai
119279,Hirano to Kagiura,"Boys Love, Josei, School, Slice of Life",8.44,197,1840,currently_publishing,Shou Harusono
21499,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,"Drama, Horror, Mystery, Shounen, Supernatural",8.44,199,1437,finished," Ryukishi07, Hinase Momoyama"
29211,Gekkan Shoujo Nozaki-kun,"Comedy, Otaku Culture, Romance, School",8.43,200,197,currently_publishing,Izumi Tsubaki
743,21st Century Boys,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Seinen",8.43,203,143,finished,Naoki Urasawa
1469,Glass no Kamen,"Drama, Performing Arts, Romance, Shoujo, Showbiz",8.43,204,1673,on_hiatus,Suzue Miuchi
17051,Barakamon,"Childcare, Comedy, Iyashikei, Shounen, Slice of Life, Visual Arts",8.43,206,422,finished,Satsuki Yoshino
3572,Tobaku Mokushiroku Kaiji,"Adult Cast, Award Winning, Drama, High Stakes Game, Seinen, Strategy Game",8.42,207,883,finished,Nobuyuki Fukumoto
87397,Shiori Experience: Jimi na Watashi to Hen na Ojisan,"Comedy, Music, School, Seinen, Supernatural",8.42,208,936,currently_publishing,"Yu-Ko Osada, Kazuya Machida"
162964,Mayonaka Heart Tune,"Comedy, Harem, Romance, School, Shounen, Showbiz",8.42,213,1204,currently_publishing,Masakuni Igarashi
138673,Look Back,"Drama, Shounen",8.41,214,127,finished,Tatsuki Fujimoto
658,Mugen no Juunin,"Action, Adventure, Drama, Historical, Martial Arts, Samurai, Seinen, Supernatural",8.41,217,188,finished,Hiroaki Samura
3866,Kuroshitsuji,"Action, Fantasy, Historical, Mystery, Mythology, Shounen, Supernatural",8.41,218,71,currently_publishing,Yana Toboso
42451,Horimiya,"Romance, School, Shounen",8.41,219,16,finished,"Daisuke Hagiwara,  HERO"
94376,Yuru Camp△,"CGDCT, Iyashikei, Slice of Life",8.4,225,964,currently_publishing, Afro
419,Nodame Cantabile,"Adult Cast, Award Winning, Comedy, Josei, Music, Romance, Slice of Life",8.4,221,664,finished,Tomoko Ninomiya
974,Basara,"Adventure, Award Winning, Drama, Fantasy, Romance, Shoujo",8.4,222,751,finished,Yumi Tamura
3573,Tobaku Hakairoku Kaiji,"Adult Cast, Drama, High Stakes Game, Strategy Game",8.4,223,1764,finished,Nobuyuki Fukumoto
110771,Toshokan no Daimajutsushi,"Fantasy, Seinen",8.4,224,847,currently_publishing,Mitsu Izumi
121213,Kimi wa Houkago Insomnia,"Romance, School, Seinen",8.4,225,324,finished,Makoto Ojiro
118804,Ikoku Nikki,"Drama, Josei",8.39,226,2497,finished,Tomoko Yamashita
8967,Onanie Master Kurosawa,"Drama, Psychological, School",8.39,228,84,finished,"Takuma Yokota, Katsura Ise"
93699,Innocent Rouge,"Award Winning, Drama, Historical, Seinen",8.39,229,574,finished,Shinichi Sakamoto
99314,Kimi no Na wa.,"Drama, Seinen",8.39,230,168,finished,"Makoto Shinkai, Ranmaru Kotone"
33031,Imawa no Kuni no Alice,"Action, Gore, High Stakes Game, Horror, Psychological, Shounen, Supernatural, Survival",8.38,232,182,finished,Haro Aso
142310,Amayo no Tsuki,"Drama, Girls Love, School",8.38,234,2565,currently_publishing, Kuzushiro
768,Gunnm,"Action, Sci-Fi, Seinen",8.38,237,186,finished,Yukito Kishiro
2921,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",8.38,238,69,finished,Hiro Fujiwara
